"gene","rank","log2FoldChange","padj"
"Vfaba.Hedin2.R1.5g111560",225,1.92343621159058,0.0149259879028573
"Vfaba.Hedin2.R1.5g192560",226,1.91521408648035,0.0269428065447794
"Vfaba.Hedin2.R1.1g258840",227,1.91168749809028,0.00883758658585308
"Vfaba.Hedin2.R1.2g237600",228,1.90561568832184,7.01378110321128e-07
"Vfaba.Hedin2.R1.5g187120",229,1.89423037613466,0.0386824186360855
"Vfaba.Hedin2.R1.1g428640",230,1.89258958049769,0.000274540960590557
"Vfaba.Hedin2.R1.1g203800",231,1.89065758185308,0.0324813594129599
"Vfaba.Hedin2.R1.2g037480",232,1.87827655527257,1.95821619342911e-06
"Vfaba.Hedin2.R1.2g224920",233,1.8720862576999,0.000542086433125082
"Vfaba.Hedin2.R1.5g056640",234,1.8619128799719,0.0435297414810979
"Vfaba.Hedin2.R1.1g299520",235,1.8428601810499,1.1066852203038e-06
"Vfaba.Hedin2.R1.1g062440",236,1.82896206020908,6.28345090006229e-09
"Vfaba.Hedin2.R1.4g081080",237,1.82864217976087,4.22421684827593e-18
"Vfaba.Hedin2.R1.5g082200",238,1.82373102022589,5.99036788359889e-05
"Vfaba.Hedin2.R1.4g196800",239,1.82142446738789,2.00842574382807e-06
"Vfaba.Hedin2.R1.4g143680",240,1.81547208507918,6.29130396406142e-12
"Vfaba.Hedin2.R1.6g033720",241,1.80668683879162,9.1104500362117e-06
"Vfaba.Hedin2.R1.1g340000",242,1.78950713971946,0.00883937386776795
"Vfaba.Hedin2.R1.1g232040",243,1.77490127451707,0.00503153849975496
"Vfaba.Hedin2.R1.1g377560",244,1.7737399124967,0.0153583503420558
"Vfaba.Hedin2.R1.1g126600",245,1.76637940367547,0.00328161535553564
"Vfaba.Hedin2.R1.2g126440",246,1.76028419405474,0.0457739549691679
"Vfaba.Hedin2.R1.5g191480",247,1.75543149653538,0.0410633804140679
"Vfaba.Hedin2.R1.5g127960",248,1.74092328318149,0.000568042089011045
"Vfaba.Hedin2.R1.3g085240",249,1.73417625594124,2.95159439643708e-07
"Vfaba.Hedin2.R1.4g237760",250,1.71876002377888,0.00107312188041362
"Vfaba.Hedin2.R1.2g216680",251,1.70059372282265,2.64369238408651e-06
"Vfaba.Hedin2.R1.6g167960",252,1.69668093570019,0.000779960684369989
"Vfaba.Hedin2.R1.4g173920",253,1.69521114987749,0.019122799878647
"Vfaba.Hedin2.R1.2g094440",254,1.68892155370528,0.00659207674596304
"Vfaba.Hedin2.R1.4g120920",255,1.6751801938145,0.000232606473755617
"Vfaba.Hedin2.R1.1g342040",256,1.67478949527505,0.00757539297497995
"Vfaba.Hedin2.R1.4g093000",257,1.67264257337815,4.12316966964434e-09
"Vfaba.Hedin2.R1.1g122760",258,1.6705067383836,1.44956502388047e-15
"Vfaba.Hedin2.R1.1g294560",259,1.6604094726649,0.0325599965054645
"Vfaba.Hedin2.R1.5g179320",260,1.65233023130517,0.0178700161905746
"Vfaba.Hedin2.R1.1g423280",261,1.64561143345075,0.00781941772559446
"Vfaba.Hedin2.R1.4g220760",262,1.64520021189891,0.00289433867803242
"Vfaba.Hedin2.R1.2g140040",263,1.63915935758193,1.21936925462103e-07
"Vfaba.Hedin2.R1.1g309200",264,1.6376877470329,1.75905326681954e-05
"Vfaba.Hedin2.R1.5g119920",265,1.63531017106846,1.15511027725698e-07
"Vfaba.Hedin2.R1.3g013640",266,1.63296540087852,0.0224616358898755
"Vfaba.Hedin2.R1.4g121000",267,1.62359794158256,0.0232964050522204
"Vfaba.Hedin2.R1.5g112040",268,1.62063503499169,0.0105493128727934
"Vfaba.Hedin2.R1.4g134760",269,1.61637635291784,0.00183812767352029
"Vfaba.Hedin2.R1.2g111480",270,1.61579962623279,0.00634603022747337
"Vfaba.Hedin2.R1.5g120200",271,1.59217996696912,0.014676779989199
"Vfaba.Hedin2.R1.1g325760",272,1.58960202527552,0.00262165337056463
"Vfaba.Hedin2.R1.2g015760",273,1.5711596838014,0.000828610513886707
"Vfaba.Hedin2.R1.2g234920",274,1.56771386557811,3.50840061101514e-07
"Vfaba.Hedin2.R1.1g099880",275,1.56098019051039,1.29036945546966e-08
"Vfaba.Hedin2.R1.3g023440",276,1.5414618136967,0.000752162697468732
"Vfaba.Hedin2.R1.1g109880",277,1.53427074338124,0.000951365393364695
"Vfaba.Hedin2.R1.1g062080",278,1.5314311504104,1.27784207409434e-05
"Vfaba.Hedin2.R1.2g179040",279,1.52980745019995,0.00953864584881514
"Vfaba.Hedin2.R1.6g156760",280,1.50393710762543,0.00063736983294997
"Vfaba.Hedin2.R1.1g321600",281,1.49772443607426,0.00742642171156279
"Vfaba.Hedin2.R1.5g010040",282,1.49442224101982,0.0315175003901539
"Vfaba.Hedin2.R1.1g119920",283,1.4887570568851,0.0184208595984324
"Vfaba.Hedin2.R1.1g436840",284,1.48590830518936,0.0215996262331392
"Vfaba.Hedin2.R1.2g069720",285,1.48368380484914,0.0293677179657823
"Vfaba.Hedin2.R1.5g144720",286,1.46070877716367,0.0476016754067115
"Vfaba.Hedin2.R1.4g067000",287,1.45620848671649,4.51595611801303e-08
"Vfaba.Hedin2.R1.3g139720",288,1.45322907607116,4.94943965746928e-05
"Vfaba.Hedin2.R1.3g168280",289,1.4498401181572,0.0138648380040008
"Vfaba.Hedin2.R1.1g317720",290,1.42617835263144,0.00252399867815576
"Vfaba.Hedin2.R1.2g156360",291,1.42454188380324,7.15445296949557e-06
"Vfaba.Hedin2.R1.6g110120",292,1.42052750046135,0.0490453161790998
"Vfaba.Hedin2.R1.2g243760",293,1.41477503570934,6.81638346479967e-05
"Vfaba.Hedin2.R1.1g270720",294,1.41090251761348,0.0202795546333865
"Vfaba.Hedin2.R1.2g250640",295,1.39778218783893,0.0216492388870181
"Vfaba.Hedin2.R1.4g235480",296,1.3952575155434,0.00299136861843076
"Vfaba.Hedin2.R1.2g225360",297,1.39135963087131,0.0322554784488237
"Vfaba.Hedin2.R1.3g181120",298,1.38824610104346,0.00196121740505637
"Vfaba.Hedin2.R1.4g131840",299,1.37877457385446,1.76836331320221e-06
"Vfaba.Hedin2.R1.6g123320",300,1.37398839582944,7.32465962653236e-11
"Vfaba.Hedin2.R1.1g035920",301,1.3728960138896,0.00635046748335069
"Vfaba.Hedin2.R1.5g008240",302,1.37068731345634,2.28300905348633e-11
"Vfaba.Hedin2.R1.1g116360",303,1.36749765268641,0.00117738504306636
"Vfaba.Hedin2.R1.4g235280",304,1.36022641629968,0.0301003813034881
"Vfaba.Hedin2.R1.3g123560",305,1.35582525914743,3.52138555504589e-09
"Vfaba.Hedin2.R1.1g223880",306,1.35010871760149,0.0245977108596355
"Vfaba.Hedin2.R1.4g112840",307,1.34761911762709,1.7170574951852e-08
"Vfaba.Hedin2.R1.5g183040",308,1.34446243415838,2.59020210748273e-07
"Vfaba.Hedin2.R1.3g158520",309,1.34393267724355,0.0375742384311339
"Vfaba.Hedin2.R1.4g216920",310,1.33676337186891,0.000779960684369989
"Vfaba.Hedin2.R1.1g132680",311,1.32742164063748,3.76331620866379e-08
"Vfaba.Hedin2.R1.6g095760",312,1.32031733302165,3.57252530501021e-05
"Vfaba.Hedin2.R1.1g219560",313,1.31746074537184,0.046705929247534
"Vfaba.Hedin2.R1.3g061360",314,1.31414287052001,1.14985648741451e-06
"Vfaba.Hedin2.R1.1g196600",315,1.31130481962886,2.42560822148542e-05
"Vfaba.Hedin2.R1.2g025280",316,1.31069699303062,0.000128075360554606
"Vfaba.Hedin2.R1.1g251760",317,1.30996047371439,2.13051482648895e-06
"Vfaba.Hedin2.R1.2g234760",318,1.30682025012065,0.0161416150782949
"Vfaba.Hedin2.R1.4g113880",319,1.30266936236816,1.79517705940165e-06
"Vfaba.Hedin2.R1.1g268920",320,1.30258781828726,0.0418678087494911
"Vfaba.Hedin2.R1.3g201360",321,1.30077349142764,0.00020157414112395
"Vfaba.Hedin2.R1.1g086720",322,1.28890310273785,0.0368008599335589
"Vfaba.Hedin2.R1.4g120520",323,1.28864474226038,0.000201497502380144
"Vfaba.Hedin2.R1.3g141400",324,1.28076474884907,0.0297708678477979
"Vfaba.Hedin2.R1.5g170920",325,1.27862288814402,0.0433527126763709
"Vfaba.Hedin2.R1.5g100280",326,1.27707512292312,0.000526031092549684
"Vfaba.Hedin2.R1.1g337320",327,1.27226194266672,1.11833964200471e-05
"Vfaba.Hedin2.R1.4g233600",328,1.2714930516726,0.000180305590576358
"Vfaba.Hedin2.R1.1g010040",329,1.27132582915393,0.0185580686019896
"Vfaba.Hedin2.R1.3g044080",330,1.26349525793735,9.4715786040985e-07
"Vfaba.Hedin2.R1.6g011560",331,1.26304539305345,0.00182994319609592
"Vfaba.Hedin2.R1.3g041920",332,1.25915666504652,0.00128325714248106
"Vfaba.Hedin2.R1.4g173120",333,1.25859144112349,0.0202795546333865
"Vfaba.Hedin2.R1.4g075760",334,1.25608913619377,4.67593095452078e-06
"Vfaba.Hedin2.R1.1g289520",335,1.25407446629018,2.34884987622583e-09
"Vfaba.Hedin2.R1.6g097800",336,1.25344142302551,0.00474927980531915
"Vfaba.Hedin2.R1.5g168320",337,1.245923213517,3.24489184835873e-08
"Vfaba.Hedin2.R1.2g150640",338,1.24488481403205,6.48145990812946e-05
"Vfaba.Hedin2.R1.1g411840",339,1.23977064500653,0.00466016017613495
"Vfaba.Hedin2.R1.1g017440",340,1.23268841739177,0.000289057149680498
"Vfaba.Hedin2.R1.6g072080",341,1.23160054053957,0.0136469009895163
"Vfaba.Hedin2.R1.1g342360",342,1.22875666196662,0.00401920699901841
